customerID,MonthlyCharges,TotalCharges,churn_probability,risk_decile
5550-VFRLC,69.85,69.85,0.8824300254829599,10
6229-LSCKB,79.7,497.6,0.8820193262689767,10
5995-SNNEW,104.45,2184.85,0.8817467032819482,10
1363-TXLSL,70.3,70.3,0.8814587158856447,10
0655-RBDUG,98.05,713.0,0.8813992695521607,10
4514-GFCFI,84.75,1350.15,0.8811531379058763,10
9957-YODKZ,80.8,457.1,0.8811507400170817,10
4952-YSOGZ,85.95,381.3,0.8809178135617536,10
9787-XVQIU,75.3,75.3,0.8806415757635395,10
5868-YWPDW,84.2,519.15,0.8804394546544159,10
0365-BZUWY,102.55,1742.5,0.8794859694400947,10
1761-AEZZR,79.55,79.55,0.8793729595857723,10
8062-YBDOE,69.65,69.65,0.8792448156408172,10
8086-OVPWV,80.2,181.1,0.8785294373469131,10
8225-BTJAU,79.25,793.55,0.8779603170424731,10
0404-SWRVG,74.4,229.55,0.8776703045344758,10
0375-HVGXO,34.7,34.7,0.8776151250894748,10
5288-AHOUP,78.5,874.2,0.8776116739867472,10
5644-PDMZC,89.5,161.5,0.8774095624612743,10
9603-OAIHC,70.05,70.05,0.8772426212773511,10
8752-STIVR,79.0,303.15,0.8765611068541013,10
6892-XPFPU,104.25,2433.9,0.8761080999283529,10
7273-TEFQD,41.15,132.2,0.8759976541016212,10
9488-HGMJH,71.15,71.15,0.8759681602021655,10
2691-NZETQ,85.35,758.6,0.8757201214571325,10
2880-FPNAE,74.2,140.1,0.8756900388133753,10
2609-IAICY,77.15,77.15,0.8756241798425997,10
2789-HQBOU,80.35,253.8,0.8746643791596824,10
3217-FZDMN,94.45,742.95,0.874459642471366,10
7439-DKZTW,80.55,80.55,0.8743185857651125,10
4234-XTNEA,79.95,174.45,0.8732379233517771,10
5698-BQJOH,94.4,857.25,0.8730883433790008,10
7548-SEPYI,96.25,512.45,0.8728130658848495,10
9172-ANCRX,98.7,973.25,0.8722420800064026,10
6979-ZNSFF,87.05,762.1,0.8721858852947222,10
0023-HGHWL,25.1,25.1,0.8715884128112029,10
9391-EOYLI,80.45,950.2,0.8714905971663166,10
2959-MJHIC,80.35,307.4,0.8710471995421531,10
7044-YAACC,70.2,280.35,0.870662461546493,10
0122-OAHPZ,73.85,511.25,0.8705797303440663,10
0637-KVDLV,76.5,162.45,0.8704838588269941,10
1200-TUZHR,85.2,695.75,0.870073576266216,10
9885-CSMWE,78.45,78.45,0.8693925054581784,10
7493-TPUWZ,79.15,79.15,0.86882715875136,10
0679-IDSTG,69.25,69.25,0.8677848637240868,10
7594-RQHXR,79.6,79.6,0.8667986944032586,10
5429-LWCMV,89.15,1057.55,0.8664828725084558,10
2876-GZYZC,85.95,1215.65,0.866299577333946,10
8443-ZRDBZ,76.05,318.9,0.8650115112462968,10
5835-BEQEU,76.95,228.4,0.8648926179811914,10
3750-CKVKH,67.75,116.65,0.8638903963267468,10
7660-HDPJV,69.2,69.2,0.8635899904620561,10
4229-CZMLL,74.9,469.8,0.8630382430590792,10
7969-AULMZ,97.35,2119.5,0.8623949759390034,10
2272-QAGFO,74.3,1096.25,0.860918936556444,10
9279-CJEOJ,95.4,2025.1,0.8606248343693865,10
8118-LSUEL,106.4,2483.5,0.8602847387822145,10
2612-RRIDN,81.0,340.85,0.8601762449743382,10
5609-CEBID,94.1,1782.4,0.859841513410199,10
6689-TCZHQ,78.95,378.4,0.8596383640533675,10
0328-GRPMV,70.1,70.1,0.8585505355325335,10
4702-IOQDC,70.1,70.1,0.8585505355325335,10
3428-XZMAZ,69.35,69.35,0.8579907900246315,10
1640-PLFMP,70.25,70.25,0.8576956659964702,10
3244-DCJWY,70.25,70.25,0.8576956659964702,10
3677-IYRBF,30.4,78.65,0.8571791628889652,10
4482-EWFMI,69.7,135.2,0.8568284994891769,10
3338-CVVEH,94.55,1173.55,0.8568152708463889,10
5167-ZFFMM,90.85,90.85,0.8567063615115358,10
6502-MJQAE,69.6,69.6,0.8565589124338965,10
7254-IQWOZ,69.65,69.65,0.8562710986189974,10
2107-FBPTK,104.1,3121.1,0.8560517401919613,10
2516-VQRRV,75.45,158.4,0.8557211630604027,10
7994-UYIVZ,85.65,659.45,0.855582306630022,10
4510-HIMLV,69.8,69.8,0.8554047731285908,10
9804-ICWBG,69.9,69.9,0.8548248153246667,10
1031-IIDEO,70.85,70.85,0.8542330257078288,10
4813-HQMGZ,90.25,743.75,0.854118045351661,10
1636-NTNCO,50.95,207.35,0.8537627909860803,10
0928-JMXNP,29.9,118.25,0.8536927248028814,10
4123-DVHPH,88.05,801.3,0.853458218243958,10
7365-BVCJH,24.4,24.4,0.851599848422089,10
5349-IECLD,94.95,178.1,0.8513075046034647,10
9237-HQITU,70.7,151.65,0.8501190776967972,10
8714-CTZJW,82.85,319.6,0.8482382721648295,10
7314-OXENN,82.0,184.65,0.847847291494978,10
9717-QEBGU,70.3,144.0,0.8478426793287653,10
2777-PHDEI,78.05,78.05,0.847313312233758,10
3957-LXOLK,106.15,3152.5,0.8469182192623119,10
9547-ITEFG,102.6,897.75,0.8456180237131062,10
4385-GZQXV,94.45,1511.2,0.8453183331260073,10
